hotkey,APR,stake share
5CsvRJXuR955WojnGMdok1hbhffZyB4N5ocrv82f3p5A2zVp,21.71,2.36
5GsL9zNp1CdKmKSYBGjeF9kGReRpS8KdQv2yJ3mHVwKq2YCq,19.54,0.58
5HbScNssaEfioJHXjcXdpyqo1AKnYjymidGF8opcF9rTFZdT,18.76,0.96
5FKstHjZkh4v3qAMSBa1oJcHCLjxYZ8SNTSz1opTv4hR7gVB,18.71,5.8
5G1NjW9YhXLadMWajvTkfcJy6up3yH2q1YzMXDTi6ijanChe,18.48,2.12
5FFApaS75bv5pJHfAp2FVLBj9ZaXuFDjEypsaBNc1wCfe52v,18.43,6.0
5FFM6Nvvm78GqyMratgXXvjbqZPi7SHgSQ81nyS96jBuUWgt,18.3,0.8
5HK5tp6t2S59DywmHRWPBVJeJ86T61KjurYqeooqj8sREpeN,18.27,8.3
5Hddm3iBFD2GLT5ik7LZnT3XJUnRnN8PoeCFgGQgawUVKNm8,18.21,12.27
5HbLYXUBy1snPR8nfioQ7GoA9x76EELzEq9j7F32vWUQHm1x,17.94,3.99
5EhvL1FVkQPpMjZX4MAADcW42i3xPSF1KiCpuaxTYVr28sux,17.88,6.06
5CVS9d1NcQyWKUyadLevwGxg6LgBcF9Lik6NSnbe5q59jwhE,17.79,0.53
5CXRfP2ekFhe62r7q3vppRajJmGhTi7vwvb2yr79jveZ282w,17.78,2.32
5DvTpiniW9s3APmHRYn8FroUWyfnLtrsid5Mtn5EwMXHN2ed,17.73,5.04
5Fq5v71D4LX8Db1xsmRSy6udQThcZ8sFDqxQFwnUZ1BuqY5A,17.67,0.67
5F4tQyWrhfGVcNhoqeiNsR6KjD4wMZ2kfhLj4oHYuyHbZAc3,16.87,26.05
5Hp18g9P8hLGKp9W3ZDr4bvJwba6b6bY3P2u3VdYf8yMR8FM,16.02,2.41
5HNQURvmjjYhTSksi8Wfsw676b4owGwfLR2BFAQzG7H3HhYf,15.99,0.98
